count;codanomal
1;Q669Q681
1;Q870
1;Q423Q564Q793
1;Q170Q206Q222
1;Q254Q524Q728
4;Q02X
1;Q02XQ178Q382Q752
1;Q378
1;Q174Q752
1;Q722
1;Q160
1;Q385
1;Q359Q380
4;Q369
3;Q174
1;Q399
1;Q338
1;Q699Q758
1;Q178Q676Q748
58534;NA
1;Q130
1;Q383
1;Q549Q790
1;Q355
1;Q750Q771
1;Q178
1;Q308
1;Q741
1;Q039Q375
1;Q764
1;Q382
1;Q181
12;Q909
1;Q049
1;Q723
1;Q532
1;Q796
1;Q039Q174Q359Q743Q758
1;Q120Q718Q728Q752
1;Q224Q780
1;Q670
1;Q02XQ532Q792
1;Q339
1;Q174Q249Q669Q740
2;Q669
1;Q749Q793
1;Q039Q174Q274Q359
2;Q174Q668
2;Q602
1;Q750
2;Q647
2;Q360
3;Q709
1;Q564
1;Q359Q664Q715
1;Q758
1;Q042
1;Q000Q758
3;Q897
1;Q160Q336Q613
1;Q039Q359Q369
1;Q039Q059Q248
1;Q688
4;Q380
1;Q158Q309
1;Q898
1;Q039Q870
4;Q039
1;Q718Q763
1;Q112
1;Q838
1;Q661
1;Q239Q439
1;Q213Q909
3;Q790
4;Q690
1;Q353
1;Q159Q369
1;Q359Q369
1;Q371
1;Q039Q204Q369Q390Q549
1;Q039Q059
3;Q792
1;Q738
1;Q351
1;Q163
1;Q661Q664
35;Q699
1;Q02XQ360
1;Q700
1;Q369Q379
1;Q161Q179Q391
1;Q541
3;Q749
1;Q249Q278
2;Q270
9;Q000
1;Q699Q709
1;Q02XQ174Q301Q759Q870
1;Q422Q531Q532
5;Q059
1;Q560
1;Q771Q897
4;Q179
1;Q641
1;Q369Q699Q709
1;Q174Q249
6;Q359
1;Q010
1;Q913
1;Q248
1;Q660Q668
1;Q179Q699
4;Q549
1;Q174Q718Q748
1;Q663
1;Q675Q699
4;Q899
2;Q548
1;Q728
3;Q713
13;Q668
3;Q759
2;Q666
3;Q665
3;Q249
2;Q682
1;Q106Q564Q665
4;Q379
1;Q159Q685Q753
2;Q558
1;Q560Q792Q793
2;Q872
1;Q212
1;Q753
1;Q691
3;Q664
1;D180
1;Q061Q336
1;Q319
1;Q875
1;Q019Q039
1;Q559Q699Q848
18;Q793
1;Q606
1;Q209
1;Q709Q729
6;Q660
1;Q769
1;Q447Q564Q639Q649Q793
2;Q531
1;Q718Q779
1;Q209Q210Q251
1;Q423
5;Q681
1;Q690Q798
1;Q234
1;Q174Q740Q752
